family,scope,model,channel,regime,defense,none_x,none_n,defense_x,defense_n,none_rate,defense_rate,raw_p,holm_p,significant_holm_0.05
B_defense_vs_no_defense,adversarial_condition_only,Llama3.1-8B,url,Conservative,budget_cap,60,60,60,60,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Llama3.1-8B,url,Conservative,d_mtd,60,60,0,60,100.0,0.0,2.070073888186964e-35,1.4904531994946142e-33,True
B_defense_vs_no_defense,adversarial_condition_only,Llama3.1-8B,url,Conservative,early_abort,60,60,10,60,100.0,16.67,8.212076769051749e-24,4.763004526050014e-22,True
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Baseline,budget_cap,0,100,0,100,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Baseline,d_mtd,0,100,1,100,0.0,1.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Baseline,early_abort,0,100,0,100,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Prompt-only,budget_cap,41,98,48,100,41.84,48.0,0.3952753267335414,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Prompt-only,d_mtd,41,98,37,100,41.84,37.0,0.5610183637126591,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Prompt-only,early_abort,41,98,6,100,41.84,6.0,1.2514872312380007e-09,5.6316925405710034e-08,True
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Controller-only,budget_cap,60,60,60,60,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Controller-only,d_mtd,60,60,0,60,100.0,0.0,2.070073888186964e-35,1.4904531994946142e-33,True
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Controller-only,early_abort,60,60,12,60,100.0,20.0,3.1803133669236765e-22,1.780975485477259e-20,True
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Conservative,budget_cap,60,60,60,60,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Conservative,d_mtd,60,60,0,60,100.0,0.0,2.070073888186964e-35,1.4904531994946142e-33,True
B_defense_vs_no_defense,adversarial_condition_only,Mistral-7B,url,Conservative,early_abort,60,60,3,60,100.0,5.0,8.220470417379253e-31,5.425510475470307e-29,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Baseline,budget_cap,1,40,15,40,2.5,37.5,0.0001240338445030377,0.005209421469127583,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Baseline,early_abort,1,40,0,40,2.5,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Baseline,rag_d_mtd,1,40,0,40,2.5,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Prompt-only,budget_cap,1,40,17,40,2.5,42.5,2.0622347490547127e-05,0.0008867609420935265,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Prompt-only,early_abort,1,40,0,40,2.5,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Prompt-only,rag_d_mtd,1,40,0,40,2.5,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Controller-only,budget_cap,40,40,40,40,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Controller-only,early_abort,40,40,5,40,100.0,12.5,2.2728875847395202e-17,1.1591726682171552e-15,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Controller-only,rag_d_mtd,40,40,4,40,100.0,10.0,2.5254306497105798e-18,1.3384782443466073e-16,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Conservative,budget_cap,40,40,40,40,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Conservative,early_abort,40,40,2,40,100.0,5.0,1.6017530547847222e-20,8.6494664958375e-19,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-14B,rag,Conservative,rag_d_mtd,40,40,7,40,100.0,17.5,1.1699959424302008e-15,5.4989809294219436e-14,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Baseline,budget_cap,2,40,10,40,5.0,25.0,0.025204196735209537,0.9577594759379624,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Baseline,early_abort,2,40,0,40,5.0,0.0,0.49367088607594933,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Baseline,rag_d_mtd,2,40,0,40,5.0,0.0,0.49367088607594933,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Prompt-only,budget_cap,0,40,12,40,0.0,30.0,0.00018546605057626913,0.007604108073627034,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Prompt-only,early_abort,0,40,0,40,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Prompt-only,rag_d_mtd,0,40,0,40,0.0,0.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Controller-only,budget_cap,40,40,40,40,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Controller-only,early_abort,40,40,5,40,100.0,12.5,2.2728875847395202e-17,1.1591726682171552e-15,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Controller-only,rag_d_mtd,40,40,5,40,100.0,12.5,2.2728875847395202e-17,1.1591726682171552e-15,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Conservative,budget_cap,40,40,40,40,100.0,100.0,1.0,1.0,False
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Conservative,early_abort,40,40,7,40,100.0,17.5,1.1699959424302008e-15,5.4989809294219436e-14,True
B_defense_vs_no_defense,adversarial_condition_only,Qwen2.5-7B,rag,Conservative,rag_d_mtd,40,40,4,40,100.0,10.0,2.5254306497105798e-18,1.3384782443466073e-16,True
