family,scope,model,channel,regime,defense,benign_x,benign_n,adv_x,adv_n,adv_rate,benign_rate,raw_p,holm_p,significant_holm_0.05
A_benign_vs_adversarial,per_model_channel_regime_raw,Llama3.1-8B,rag,Prompt-only,none,3,100,12,100,12.0,3.0,0.028671314973177094,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Llama3.1-8B,rag,Controller-only,none,0,60,4,60,6.67,0.0,0.11872441284205991,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Llama3.1-8B,rag,Conservative,none,0,59,14,59,23.73,0.0,5.0976716462228095e-05,0.004231067466364932,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Gemma3-12B,rag,Baseline,none,0,100,47,100,47.0,0.0,1.1107750739417165e-17,1.1329905754205508e-15,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Gemma3-12B,rag,Prompt-only,none,0,100,49,100,49.0,0.0,1.3163467938524984e-18,1.3690006656065984e-16,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Gemma3-12B,rag,Controller-only,none,0,60,31,31,100.0,0.0,5.060803044287806e-25,5.71870744004522e-23,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Gemma3-12B,rag,Conservative,none,0,60,38,38,100.0,0.0,4.616649024628713e-28,5.262979888076733e-26,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Mistral-7B,rag,Baseline,none,3,98,19,98,19.39,3.06,0.00042451756946997575,0.03396140555759806,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Mistral-7B,rag,Prompt-only,none,4,100,27,100,27.0,4.0,7.4699219537865274e-06,0.0006349433660718548,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Mistral-7B,rag,Controller-only,none,0,59,39,60,65.0,0.0,2.822798172527728e-16,2.794570190802451e-14,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Mistral-7B,rag,Conservative,none,0,60,40,60,66.67,0.0,7.318365632479295e-17,7.318365632479295e-15,True
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,rag,Baseline,none,0,100,4,100,4.0,0.0,0.12124072137336428,1.0,False
A_benign_vs_adversarial,per_model_channel_regime_raw,Qwen2.5-14B,rag,Prompt-only,none,0,100,4,100,4.0,0.0,0.12124072137336428,1.0,False
